frame_id,time,u,v,X,Y,Z,A,B,C,gt_x,gt_y,gt_z
47,1772787938.549685,890.2407,328.5103,434.0188,168.7510,591.8721,153.2679,89.3270,154.0106,1061.4570,14.0131,663.3292
48,1772787938.685776,887.3334,331.3170,433.9360,167.9081,593.5370,153.2470,89.3368,153.9828,1061.8113,14.5184,664.1725
49,1772787938.821769,883.6769,335.0914,433.8522,167.1232,595.0139,153.2434,89.3478,153.9713,1060.3390,16.0897,663.5690
50,1772787938.953907,880.0663,339.4166,433.7616,166.3484,596.4851,153.2579,89.3600,153.9777,1060.0104,17.1623,663.4941
51,1772787939.089997,876.6357,342.8690,433.6637,165.5575,597.9460,153.2934,89.3734,154.0055,1058.2223,18.6869,663.0483
52,1772787939.221849,874.2655,345.9353,433.5634,164.7693,599.3486,153.3514,89.3882,154.0555,1063.1873,18.0929,664.0224
53,1772787939.357861,870.5939,349.0412,433.4586,164.0007,600.7482,153.4390,89.4037,154.1370,1060.3803,19.9174,663.5658
54,1772787939.489838,867.2551,352.6317,433.3549,163.2720,602.0573,153.5556,89.4204,154.2450,1056.6691,21.5153,663.3470
55,1772787939.625877,863.6239,356.7000,433.2366,162.4752,603.3721,153.7159,89.4388,154.4023,1061.9336,21.7912,663.1417
56,1772787939.761815,859.8987,360.2428,433.1169,161.6942,604.6660,153.9181,89.4587,154.6032,1061.6186,22.7970,663.3156
57,1772787939.894607,856.7031,364.2116,432.9995,160.9360,605.9037,154.1739,89.4789,154.8489,1063.7126,23.5665,662.8717
58,1772787940.029884,853.2288,367.5674,432.8754,160.1454,607.1289,154.4985,89.5006,155.1825,1061.5227,24.6981,662.7904
59,1772787940.161879,849.7061,371.2313,432.7570,159.4138,608.2457,154.8769,89.5221,155.5589,1057.0956,26.8000,661.8312
60,1772787940.297806,846.0696,374.8037,432.6356,158.6381,609.3702,155.3586,89.5463,156.0560,1062.0820,26.4524,661.7275
61,1772787940.429901,842.1623,378.8010,432.5127,157.8561,610.4681,155.9662,89.5706,156.6645,1060.1555,28.0946,661.5128
62,1772787940.565767,838.4362,382.4822,432.3922,157.1019,611.5049,156.7258,89.5969,157.4214,1058.4987,29.7823,660.7009
63,1772787940.702666,834.8505,385.8981,432.2595,156.2993,612.5552,157.6681,89.6240,158.3940,1060.9946,30.0519,660.8889
64,1772787940.833935,831.2233,389.4472,432.1428,155.5253,613.5288,158.7830,89.6502,159.5208,1056.6080,31.8088,659.9152
65,1772787940.969900,827.1816,393.1767,432.0202,154.7289,614.4771,160.2614,89.6787,161.0362,1059.0017,32.0817,659.8375
66,1772787941.101816,822.8882,396.8681,431.9012,153.9688,615.3668,162.1077,89.7074,162.9387,1058.4036,32.6540,659.0581
67,1772787941.237920,818.9854,401.0202,431.7828,153.1706,616.2043,164.4712,89.7369,165.5037,1059.9776,32.3374,658.6632
68,1772787941.370007,815.1292,404.3576,431.6719,152.3800,617.0133,167.6219,89.7654,168.7448,1057.8668,32.8153,657.9256
69,1772787941.505685,810.7733,407.7628,431.5581,151.5831,617.7818,171.9351,89.7951,173.2048,1059.6936,31.1504,657.8854
70,1772787941.642009,805.8905,411.6717,431.4535,150.7737,618.5120,177.9683,89.8234,-50.4583,1060.7385,29.8430,657.1604
71,1772787941.773995,801.6998,415.6562,431.3441,149.9394,619.1776,-173.4470,89.8493,-171.6427,1057.7615,28.8613,656.3627
72,1772787941.910087,797.4971,419.5981,431.2454,149.0998,619.8332,-161.1085,89.8707,-158.6254,1055.3526,21.3837,655.3405
73,1772787942.041974,793.1630,422.4302,431.1489,148.2742,620.4119,-144.2707,89.8837,-141.4706,1052.1934,21.1208,654.9899
74,1772787942.177991,787.9602,426.0209,431.0607,147.4307,620.9399,-125.5326,89.8842,-122.2496,1056.1177,20.8829,654.3280
75,1772787942.310009,783.4266,429.6477,430.9786,146.6177,621.4122,-107.6217,89.8719,-105.0651,1055.9973,26.5249,653.6142
76,1772787942.445914,778.6140,432.7172,430.9017,145.7108,621.8375,-93.4877,89.8484,-91.3114,1054.4849,33.4002,652.7156
77,1772787942.581923,773.7836,436.4528,430.8370,144.8904,622.1970,-83.2826,89.8173,-81.7027,1056.4345,35.9971,651.7224
78,1772787942.713864,768.9776,439.4567,430.7748,144.0228,622.4970,-76.6387,89.7833,-75.2844,1060.4920,44.2023,651.3699
79,1772787942.849972,764.0733,442.8927,430.7201,143.1309,622.7476,-71.5298,89.7458,-70.4126,1057.8440,46.5780,650.1766
80,1772787942.981912,758.8649,445.4972,430.6776,142.2913,622.9156,-68.1721,89.7074,-67.0801,1057.3418,50.3443,649.6328
81,1772787943.118273,754.0613,448.7482,430.6412,141.3943,623.0384,-65.4247,89.6655,-64.4946,1058.8030,53.6464,648.6039
82,1772787943.249984,748.6696,451.9325,430.6162,140.5818,623.0930,-63.5441,89.6270,-62.6084,1056.1878,55.6022,647.5585
83,1772787943.385952,743.8795,454.0798,430.5979,139.6899,623.0903,-61.9257,89.5836,-61.0643,1057.6891,57.8851,646.9993
84,1772787943.522032,738.1268,457.1284,430.5881,138.7947,623.0235,-60.6543,89.5406,-59.8358,1058.0429,60.2268,645.9865
85,1772787943.653866,732.8534,459.7634,430.5876,137.9735,622.9016,-59.7608,89.4985,-58.8913,1057.8329,61.5736,644.9633
86,1772787943.790033,726.9305,462.3617,430.5956,137.0589,622.7098,-58.9612,89.4545,-58.1138,1053.4391,64.1197,643.8210
87,1772787943.921921,722.2157,464.0884,430.6111,136.2163,622.4664,-58.3505,89.4133,-57.4960,1056.7553,65.3578,643.2848
88,1772787944.058013,716.7223,466.1969,430.6344,135.3751,622.1687,-57.8703,89.3722,-57.0031,1051.4339,67.5956,642.1733
89,1772787944.189995,711.2966,467.8898,430.6655,134.5209,621.8231,-57.4775,89.3310,-56.5920,1056.7208,68.7242,641.6547
90,1772787944.326069,706.2396,469.8058,430.7063,133.6085,621.3844,-57.1475,89.2883,-56.2387,1055.7818,69.9032,640.6240
91,1772787944.462521,699.4377,472.7123,430.7497,132.7918,620.9215,-56.8979,89.2469,-55.9709,1057.6411,72.3229,639.3064
92,1772787944.594090,694.2305,474.8910,430.7982,131.9764,620.4277,-56.6974,89.2088,-55.7480,1054.6803,74.0901,638.0103
93,1772787944.730072,688.5930,476.0446,430.8590,131.0573,619.8248,-56.5296,89.1680,-55.5646,1057.7156,75.3156,637.3021
94,1772787944.862413,682.6419,478.0242,430.9213,130.2366,619.2138,-56.4040,89.1293,-55.4120,1057.6302,77.3183,636.1724
95,1772787944.998087,677.2651,479.6850,430.9923,129.3463,618.5360,-56.3019,89.0911,-55.2854,1052.7051,78.8744,634.7753
96,1772787945.129929,670.3169,481.4875,431.0627,128.5074,617.8114,-56.2255,89.0538,-55.1852,1053.3040,81.2955,633.6245
97,1772787945.266093,665.2532,483.0789,431.1404,127.6555,617.0261,-56.1644,89.0152,-55.0979,1051.8955,82.4622,632.2882
98,1772787945.401893,659.2284,484.1079,431.2242,126.7626,616.1628,-56.1188,88.9780,-55.0273,1055.2390,84.2628,631.4750
99,1772787945.534373,653.1240,485.4450,431.3074,125.9063,615.2610,-56.0877,88.9424,-54.9700,1054.6131,85.8924,630.1403
100,1772787945.670071,647.1452,486.9361,431.3970,125.0352,614.3223,-56.0669,88.9071,-54.9226,1048.6926,88.1170,628.7027
101,1772787945.802080,641.1085,487.8412,431.4842,124.1489,613.3301,-56.0540,88.8731,-54.8835,1051.9687,89.8836,627.9173
102,1772787945.938120,635.9230,488.4616,431.5814,123.1769,612.2031,-56.0460,88.8391,-54.8500,1051.2314,90.8229,626.4703
103,1772787946.070038,629.4904,488.6905,431.6718,122.3187,611.1516,-56.0430,88.8073,-54.8221,1053.2353,92.9318,625.8271
104,1772787946.206184,623.7256,489.3055,431.7663,121.3891,609.9287,-56.0427,88.7753,-54.7974,1054.3243,94.7001,624.7423
105,1772787946.342417,617.4907,489.5095,431.8593,120.4421,608.7152,-56.0440,88.7445,-54.7749,1050.9676,96.2803,623.4027
106,1772787946.474195,611.8095,489.6304,431.9508,119.5159,607.4524,-56.0455,88.7174,-54.7550,1052.2932,98.0134,622.5976
107,1772787946.610075,605.7819,489.5599,432.0390,118.5163,606.0466,-56.0465,88.6893,-54.7353,1050.2717,99.3391,621.0003
108,1772787946.741982,600.1139,489.1660,432.1251,117.5952,604.6990,-56.0460,88.6647,-54.7163,1048.2974,101.1436,620.2474
109,1772787946.878160,593.4453,489.9177,432.2111,116.5461,603.1726,-56.0433,88.6402,-54.6964,1051.5736,102.8698,618.4624
110,1772787947.010112,587.9120,489.5736,432.2799,115.6144,601.7689,-56.0382,88.6191,-54.6763,1045.6926,104.6446,617.4367
111,1772787947.146155,581.6871,488.9313,432.3510,114.5655,600.1622,-56.0298,88.5983,-54.6558,1050.4512,106.1770,616.2585
112,1772787947.282088,575.5700,488.6461,432.4108,113.5119,598.5245,-56.0185,88.5803,-54.6341,1048.1630,108.0268,614.9738
113,1772787947.413945,569.8610,488.1862,432.4588,112.5022,596.9386,-56.0053,88.5649,-54.6139,1048.0778,109.8770,614.0959
114,1772787947.550298,564.2710,487.0099,432.4955,111.3914,595.1822,-55.9890,88.5514,-54.5938,1048.4641,111.2043,612.8138
115,1772787947.682093,557.7549,486.5343,432.5193,110.3068,593.4543,-55.9718,88.5411,-54.5760,1043.3560,113.3435,611.5483
116,1772787947.818220,551.7361,485.1312,432.5286,109.1715,591.6475,-55.9526,88.5330,-54.5588,1049.9384,114.9225,610.4383
117,1772787947.950159,546.8529,483.4554,432.5230,108.0875,589.8721,-55.9325,88.5286,-54.5446,1047.6861,116.2967,609.7565
118,1772787948.086219,540.4284,482.0136,432.5000,106.8789,587.9551,-55.9088,88.5273,-54.5316,1048.1440,117.9697,608.1214
119,1772787948.218530,534.4906,480.3116,432.4588,105.6924,586.0083,-55.8848,88.5298,-54.5214,1048.7706,119.8907,607.2864
120,1772787948.354230,528.9133,479.2196,432.3998,104.5287,584.1012,-55.8592,88.5361,-54.5134,1047.4384,121.6841,606.2929
121,1772787948.491260,523.0571,477.2990,432.3257,103.3621,582.2456,-55.8327,88.5460,-54.5078,1049.1855,123.2610,604.7987
122,1772787948.622104,517.6840,476.4458,432.2428,102.3221,580.5140,-55.8072,88.5586,-54.5046,1046.5963,124.9957,603.5741
123,1772787948.758173,512.1932,475.2966,432.1453,101.2556,578.7678,-55.7800,88.5743,-54.5029,1047.2712,126.9578,602.6779
124,1772787948.890422,507.6342,473.3553,432.0323,100.2323,577.0831,-55.7492,88.5925,-54.4995,1047.7504,128.1524,601.3915
125,1772787949.026224,502.6382,471.8329,431.9154,99.2630,575.4827,-55.7105,88.6143,-54.4877,1046.4829,129.9085,600.7751
126,1772787949.158292,497.6424,470.4424,431.7944,98.3463,573.9557,-55.6561,88.6373,-54.4633,1047.3847,131.5665,599.5578
127,1772787949.294232,492.7641,470.2209,431.6640,97.3974,572.4288,-55.5831,88.6636,-54.4209,1045.8190,133.0640,597.7000
128,1772787949.430559,487.9572,468.6967,431.5289,96.5233,570.9874,-55.4869,88.6921,-54.3553,1046.5170,134.9267,597.1892
129,1772787949.562310,484.0299,467.8465,431.3971,95.6815,569.6698,-55.3705,88.7217,-54.2682,1045.6883,136.2759,596.4567
130,1772787949.698174,479.6491,467.0159,431.2531,94.8060,568.3396,-55.2112,88.7560,-54.1450,1046.6643,137.8299,595.0987
