frame_id,time,u,v,X,Y,Z,A,B,C,gt_x,gt_y,gt_z
173,1772787955.470561,329.3106,509.0320,431.0523,67.0699,567.2004,84.7517,89.3917,84.5681,1041.8090,193.4319,571.9315
174,1772787955.606515,326.3171,511.2712,431.1506,66.4404,568.1829,85.3468,89.3707,85.1523,1047.4754,195.7050,571.8342
175,1772787955.738498,323.2428,513.6279,431.2495,65.8099,569.2554,85.8565,89.3517,85.6249,1046.3921,196.4892,572.0618
176,1772787955.874346,320.5987,515.9111,431.3402,65.1854,570.3304,86.2668,89.3336,86.0194,1043.3428,196.8151,571.8741
177,1772787956.010533,318.3942,518.3483,431.4353,64.5430,571.4623,86.6098,89.3170,86.3392,1043.8482,197.4881,572.1096
178,1772787956.142698,315.1367,520.0381,431.5189,63.9237,572.5973,86.8733,89.3020,86.5886,1046.0140,199.0961,572.4152
179,1772787956.278475,312.6816,522.3704,431.6017,63.2912,573.7796,87.0828,89.2882,86.7802,1041.8872,199.0520,572.2937
180,1772787956.410613,310.0685,524.9498,431.6784,62.6547,574.9249,87.2295,89.2761,86.9174,1042.7000,199.7834,572.6055
181,1772787956.546906,306.9603,526.8701,431.7542,61.9683,576.2552,87.3407,89.2655,87.0112,1046.7928,201.6553,572.9320
182,1772787956.678666,304.8577,528.9376,431.8177,61.3229,577.4354,87.4016,89.2563,87.0636,1047.3818,202.1212,573.5845
183,1772787956.814473,301.9052,530.9661,431.8767,60.6693,578.7449,87.4278,89.2486,87.0785,1046.0154,202.8326,573.7845
184,1772787956.950474,299.1080,533.5858,431.9300,59.9773,580.0589,87.4193,89.2422,87.0610,1045.2998,203.3414,574.1495
185,1772787957.082477,296.8437,535.6498,431.9739,59.3216,581.3942,87.3809,89.2376,87.0143,1047.3793,204.3752,574.4662
186,1772787957.218528,294.6719,537.5132,432.0112,58.6212,582.7624,87.3161,89.2343,86.9425,1046.1301,204.4374,575.2146
187,1772787957.350879,292.1136,539.4384,432.0363,57.9380,584.1383,87.2325,89.2327,86.8513,1043.6771,204.6486,575.5840
188,1772787957.486613,289.3859,542.7781,432.0530,57.2403,585.5035,87.1286,89.2325,86.7406,1044.1139,205.5585,575.2337
189,1772787957.618993,286.9579,544.6788,432.0604,56.5000,587.0113,87.0075,89.2340,86.6200,1047.0174,206.3310,576.4308
190,1772787957.754541,284.8844,546.1876,432.0564,55.7531,588.4784,86.8688,89.2370,86.4814,1047.0429,206.6289,577.1366
191,1772787957.890512,282.7063,548.0260,432.0405,55.0003,589.9254,86.7185,89.2419,86.3206,1045.3179,206.7310,577.5181
192,1772787958.022367,280.0124,550.7607,432.0133,54.2188,591.4474,86.5343,89.2485,86.1307,1041.3070,206.3047,578.1379
193,1772787958.158869,277.9606,552.6872,431.9751,53.4321,592.9597,86.3185,89.2574,85.9113,1044.5491,207.4399,578.4784
194,1772787958.290515,275.4821,554.0272,431.9288,52.6859,594.4070,86.0752,89.2673,85.6708,1047.0240,208.2473,579.7077
195,1772787958.426620,273.2344,556.1894,431.8705,51.8912,595.8238,85.7884,89.2797,85.3750,1048.6768,209.1787,579.9181
196,1772787958.558599,271.0377,558.1512,431.8061,51.1262,597.2553,85.4593,89.2930,85.0490,1046.3780,208.6895,580.7632
197,1772787958.694643,268.9615,559.0001,431.7327,50.3387,598.6930,85.0644,89.3094,84.6578,1042.1852,208.0411,581.6359
198,1772787958.830660,266.5334,560.2267,431.6519,49.5589,600.0388,84.6245,89.3262,84.2139,1048.7359,209.8503,582.6790
199,1772787958.962607,264.8232,561.5062,431.5691,48.8068,601.3309,84.1258,89.3448,83.7015,1046.5343,209.6862,583.2760
200,1772787959.098486,262.1704,563.3254,431.4764,48.0087,602.6717,83.5110,89.3658,83.0999,1044.9711,210.2041,583.5023
201,1772787959.230586,260.3136,563.8174,431.3840,47.2357,603.8954,82.8457,89.3872,82.4357,1049.0783,210.6717,584.8839
202,1772787959.366515,258.3217,564.6196,431.2832,46.4442,605.1122,82.0584,89.4114,81.6221,1049.1336,211.0363,585.9651
203,1772787959.498423,256.4360,565.4025,431.1866,45.6779,606.2614,81.1494,89.4354,80.7345,1046.6865,210.4372,586.6404
204,1772787959.634673,254.1981,566.3516,431.0793,44.8674,607.4012,80.0741,89.4619,79.6537,1049.6409,211.3498,587.5424
205,1772787959.770772,252.2611,566.7141,430.9772,44.0882,608.5151,78.8236,89.4893,78.3738,1047.5878,211.6574,588.3425
