frame_id,time,u,v,X,Y,Z,A,B,C,gt_x,gt_y,gt_z
47,1772788230.944259,656.2424,499.7407,433.9151,183.7205,561.0748,153.3538,89.3605,154.1566,1042.2898,146.5981,555.2082
48,1772788231.080302,654.6500,502.1926,433.9527,183.0498,562.4134,153.6930,89.3527,154.5054,1044.0570,146.4500,555.5262
49,1772788231.212329,647.9752,501.4311,433.9904,182.4239,563.6994,153.9392,89.3456,154.7416,1038.4389,149.2984,557.1126
50,1772788231.348296,643.4092,502.0582,434.0344,181.7176,565.1283,154.1216,89.3381,154.9266,1043.9120,150.6744,558.0668
51,1772788231.480422,638.9520,502.5860,434.0764,181.0641,566.4731,154.2335,89.3312,155.0355,1039.2816,152.1363,559.4256
52,1772788231.617785,634.9520,503.8521,434.1209,180.3580,567.8931,154.2902,89.3247,155.0921,1039.2800,153.1866,560.5235
53,1772788231.748176,629.1995,503.1044,434.1612,179.6934,569.3054,154.2991,89.3188,155.0991,1037.8614,155.3466,562.2026
54,1772788231.884323,626.0096,504.5730,434.2018,178.9823,570.7262,154.2699,89.3133,155.0670,1040.2787,156.2196,562.6452
55,1772788232.020312,622.3297,506.0307,434.2388,178.2598,572.2535,154.2078,89.3082,155.0042,1039.6452,157.1897,563.7826
56,1772788232.152146,618.2670,506.9138,434.2696,177.5598,573.7103,154.1272,89.3041,154.9240,1038.8308,158.5463,564.6645
57,1772788232.288187,614.8041,507.6229,434.2957,176.8212,575.2560,154.0321,89.3006,154.8247,1041.4774,159.2865,566.1839
58,1772788232.420633,610.3565,508.1359,434.3130,176.0995,576.7416,153.9352,89.2980,154.7279,1041.3638,160.7879,567.2061
59,1772788232.556684,606.9879,509.3084,434.3224,175.3551,578.3335,153.8401,89.2963,154.6301,1042.1437,161.8050,568.0641
60,1772788232.689611,602.9603,510.0659,434.3227,174.6253,579.8544,153.7493,89.2955,154.5369,1040.7453,162.7670,569.8195
61,1772788232.824263,599.1016,511.3393,434.3130,173.8524,581.4911,153.6606,89.2958,154.4459,1037.8930,163.6864,571.3457
62,1772788233.092021,591.6880,512.5022,434.2645,172.3101,584.6708,153.5038,89.2996,154.2799,1043.2601,165.9217,573.6851
63,1772788233.228190,588.9847,514.5003,434.2251,171.5057,586.3249,153.4349,89.3033,154.2028,1041.6183,166.6600,574.2009
64,1772788233.360127,584.8494,514.8134,434.1766,170.6912,587.9836,153.3726,89.3085,154.1345,1045.0039,167.6708,576.3199
65,1772788233.496571,581.6974,516.4170,434.1183,169.8885,589.6007,153.3208,89.3151,154.0772,1043.6384,168.5792,576.9077
66,1772788233.628400,577.8286,516.5657,434.0516,169.1108,591.1965,153.2814,89.3227,154.0289,1044.4858,169.5648,578.9534
67,1772788233.764214,575.1342,516.9726,433.9801,168.3230,592.6987,153.2553,89.3316,153.9952,1043.1031,170.2398,580.2171
68,1772788233.900046,571.8915,517.5554,433.8928,167.4994,594.2525,153.2430,89.3419,153.9749,1044.1544,170.8793,581.9780
69,1772788234.032213,568.5167,518.6351,433.8088,166.7484,595.7255,153.2478,89.3534,153.9719,1042.7254,171.8644,582.9874
70,1772788234.168076,565.4536,518.9513,433.7165,165.9714,597.1815,153.2717,89.3661,153.9877,1041.3939,172.7136,584.2573
71,1772788234.436081,559.7781,519.4036,433.5135,164.4206,600.0042,153.3889,89.3951,154.0912,1044.3415,174.0166,587.2203
72,1772788234.568076,558.4581,522.4570,433.4059,163.6475,601.3636,153.4897,89.4114,154.1828,1042.2537,173.8269,587.6943
73,1772788234.704044,554.1082,520.0441,433.3009,162.9123,602.6535,153.6222,89.4284,154.3110,1045.1048,175.3639,590.1080
74,1772788234.839922,551.6731,520.4016,433.1773,162.0902,603.9822,153.8028,89.4481,154.4896,1039.8513,175.6281,591.3621
75,1772788234.972079,548.9221,520.0027,433.0639,161.3360,605.2469,154.0327,89.4677,154.7120,1047.8588,176.3525,593.2889
76,1772788235.108389,546.4222,519.8041,432.9461,160.5622,606.5120,154.3248,89.4892,154.9988,1046.5106,176.8306,594.7731
77,1772788235.240037,543.8746,519.5075,432.8186,159.8064,607.6413,154.6608,89.5103,155.3459,1047.9370,177.0511,596.4874
78,1772788235.376049,541.3216,519.1313,432.6983,159.0318,608.7973,155.1137,89.5341,155.7889,1045.7879,177.6748,597.8590
79,1772788235.508143,539.1023,519.0208,432.5729,158.2693,609.9287,155.6451,89.5579,156.3251,1042.9577,177.6184,599.6093
80,1772788235.643992,536.6599,518.4669,432.4530,157.5114,610.9829,156.2999,89.5830,157.0109,1044.0572,177.8538,600.9639
81,1772788235.776061,534.5165,518.1072,432.3334,156.7612,611.9781,157.0990,89.6084,157.8152,1046.8891,177.9080,602.2073
82,1772788235.911990,532.5206,517.6010,432.2027,155.9252,613.0294,158.1662,89.6360,158.9163,1046.9457,177.7438,604.0924
83,1772788236.047997,530.3923,516.9980,432.0812,155.1478,613.9825,159.4303,89.6643,160.2279,1046.6296,177.8476,605.3449
84,1772788236.180094,528.3706,515.7404,431.9625,154.3739,614.8959,161.0990,89.6925,161.8966,1047.5243,177.8133,607.3667
85,1772788236.315964,526.4171,515.0056,431.8382,153.5474,615.8044,163.2384,89.7221,164.1727,1047.1401,176.2190,609.0763
86,1772788236.447862,524.1035,513.9836,431.7323,152.8225,616.5892,165.8410,89.7501,166.8616,1049.9429,176.8535,610.4941
87,1772788236.584054,521.8770,513.2321,431.6141,151.9855,617.3949,169.5553,89.7797,170.6567,1047.2992,174.7017,611.7902
88,1772788236.716043,520.0818,512.4244,431.5056,151.1773,618.1440,174.6644,89.8083,175.9509,1050.8696,173.5839,613.4357
89,1772788236.851759,518.1864,511.1459,431.3984,150.3739,618.8403,-145.0878,89.8366,-176.5670,1049.1430,168.9403,614.8709
90,1772788236.987987,516.1694,510.5067,431.2967,149.5551,619.4924,-168.3452,89.8607,-165.7814,1049.7956,162.5231,616.2938
91,1772788237.119942,514.5810,508.3604,431.2016,148.7449,620.0924,-153.9575,89.8780,-151.3973,1048.0544,161.2268,618.1497
92,1772788237.255847,512.5482,507.3163,431.1081,147.8941,620.6581,-135.6606,89.8856,-132.6637,1048.4401,155.9084,619.7176
