frame_id,time,u,v,X,Y,Z,A,B,C,gt_x,gt_y,gt_z
47,1772786582.399727,504.2802,432.4145,434.1095,169.8001,589.7779,153.3164,89.3160,154.0705,1046.1987,203.2047,618.4061
48,1772786582.532177,504.1698,435.9477,434.0444,169.0275,591.3550,153.2781,89.3236,154.0257,1046.1989,202.7267,618.1208
49,1772786582.668158,503.6837,439.0524,433.9683,168.2273,592.9134,153.2526,89.3332,153.9921,1051.8076,202.5148,618.9473
50,1772786582.804690,504.0455,442.5103,433.8838,167.4147,594.4569,153.2425,89.3437,153.9734,1047.7482,201.3443,619.0003
51,1772786582.936984,502.7767,446.5586,433.7978,166.6544,595.9029,153.2498,89.3550,153.9729,1046.4217,201.4143,618.3431
52,1772786583.072464,502.9308,450.0333,433.7002,165.8677,597.4127,153.2771,89.3681,153.9916,1046.4888,200.8204,618.0269
53,1772786583.204203,502.1732,453.4570,433.6062,165.1126,598.7588,153.3244,89.3816,154.0324,1045.9243,200.4070,618.2656
54,1772786583.340397,501.8506,456.3079,433.5014,164.3148,600.2011,153.4013,89.3973,154.1002,1051.7206,200.4161,618.4838
55,1772786583.472435,501.6723,459.1838,433.3953,163.5754,601.5260,153.5045,89.4137,154.1983,1051.3229,199.6797,618.9371
56,1772786583.608418,501.5978,462.4929,433.2816,162.7923,602.8555,153.6464,89.4312,154.3346,1050.9087,199.1613,618.6616
57,1772786583.744940,501.2405,465.7127,433.1620,161.9925,604.1800,153.8345,89.4511,154.5207,1050.2660,198.4275,618.8661
58,1772786583.876290,500.7180,469.1051,433.0510,161.2681,605.3558,154.0608,89.4703,154.7412,1046.5442,197.9255,618.3108
59,1772786584.012576,500.7990,471.9505,432.9250,160.4602,606.6378,154.3577,89.4921,155.0412,1046.9581,197.3370,618.1957
60,1772786584.144517,500.4692,474.8652,432.8046,159.6986,607.8043,154.7172,89.5134,155.3959,1048.0568,196.7969,618.5036
61,1772786584.280612,499.7974,477.6422,432.6856,158.9523,608.9395,155.1606,89.5370,155.8510,1049.4913,196.5133,618.4220
62,1772786584.412758,499.6920,480.7531,432.5629,158.1670,610.0470,155.7120,89.5612,156.4082,1052.0019,195.6874,618.6331
63,1772786584.548698,499.0433,483.2540,432.4390,157.4025,611.1169,156.4084,89.5858,157.1086,1046.3713,194.8997,618.4138
64,1772786584.684766,498.7293,486.0695,432.3070,156.5620,612.2168,157.3007,89.6138,158.0108,1046.9401,194.2258,618.6962
