frame_id,time,u,v,X,Y,Z,A,B,C
0,0.0,230.7431,596.6445,-472.9769,-467.8755,653.1438,-31.8845,89.0999,93.1176
1,0.13566303253173828,240.2027,591.4586,-472.2296,-468.671,649.1454,-32.5191,88.9924,92.1059
2,0.2717740535736084,248.9639,583.9882,-469.7331,-470.8801,638.8702,-33.8125,88.8391,90.8146
3,0.403857946395874,257.7164,575.7855,-467.6559,-472.5001,629.8457,-34.7445,88.6879,89.698
4,0.5399131774902344,266.2901,567.3715,-465.2728,-474.0056,620.5915,-35.6101,88.5358,88.6559
5,0.6718389987945557,274.2279,558.8296,-462.8333,-475.3434,610.9625,-36.3652,88.393,87.7276
6,0.8078420162200928,281.7479,550.0909,-460.1197,-476.5514,601.0158,-37.0869,88.2575,86.8436
7,0.9399549961090088,288.3939,540.4932,-457.1427,-477.5637,590.877,-37.7901,88.1279,86.0576
8,1.0758540630340576,294.4858,530.8917,-453.944,-478.3426,580.195,-38.4364,88.0156,85.3295
9,1.2121150493621826,299.7003,521.0416,-450.6855,-478.8564,569.5112,-39.0428,87.9259,84.7005
10,1.344048023223877,303.4947,512.0653,-447.5446,-479.0707,559.9227,-39.5509,87.8629,84.1797
11,1.4812819957733154,306.2438,502.4787,-444.3083,-479.0604,550.3702,-40.0462,87.8196,83.7192
12,1.6130130290985107,308.5902,494.5239,-441.3834,-478.8527,542.3063,-40.4479,87.7997,83.3635
13,1.7477190494537354,310.368,485.8101,-438.0921,-478.4329,533.2587,-40.8599,87.7991,83.0478
14,1.8796279430389404,311.4209,478.0635,-435.091,-477.8716,525.3864,-41.2171,87.8174,82.7983
15,2.015774965286255,311.574,470.2473,-432.2099,-477.1764,517.81,-41.5215,87.8516,82.5978
16,2.1518101692199707,311.7874,463.1971,-429.3648,-476.3695,510.7167,-41.8155,87.9038,82.4304
17,2.2838621139526367,311.5706,456.4717,-426.4552,-475.45,503.8762,-42.0956,87.9713,82.2837
18,2.4268651008605957,310.6078,449.588,-423.7165,-474.4511,497.2614,-42.4075,88.0634,82.1218
19,2.552570104598999,309.1027,443.2367,-421.265,-473.5188,492.0518,-42.7104,88.1537,81.9589
20,2.6876981258392334,308.2041,437.2563,-418.7709,-472.5105,486.832,-43.1075,88.2743,81.7284
21,2.820101022720337,306.6055,432.1847,-416.4406,-471.5837,482.4907,-43.5327,88.3948,81.4514
