frame_id,time,u,v,X,Y,Z,A,B,C
0,0.0,1068.4625,310.1581,437.7437,199.605,536.3436,107.5245,89.0517,107.7883
1,0.13621091842651367,1065.4519,311.384,437.3819,199.1474,536.7382,108.8049,89.0941,108.9889
2,0.26821398735046387,1061.8673,313.007,436.9901,198.6205,537.2752,110.4051,89.1401,110.6702
3,0.40385890007019043,1057.9473,314.9772,436.6216,198.065,537.8538,112.2448,89.1838,112.5646
4,0.5397610664367676,1054.3163,317.1226,436.2649,197.493,538.4867,114.2151,89.2236,114.5839
5,0.6718230247497559,1050.7294,319.0779,435.9554,196.9458,539.1114,116.2267,89.2578,116.6517
6,0.8078930377960205,1047.8875,320.0285,435.6653,196.3731,539.8128,118.4046,89.289,118.8822
7,0.9402239322662354,1044.3975,322.342,435.4064,195.8267,540.4938,120.5692,89.3153,121.1594
8,1.075808048248291,1041.5721,323.5076,435.1772,195.2832,541.2349,122.9637,89.3392,123.4926
9,1.2078959941864014,1037.8727,325.5275,434.9656,194.7113,541.99,125.2251,89.3589,125.8986
10,1.3437299728393555,1035.3411,327.2797,434.7753,194.1639,542.7601,127.6072,89.3757,128.29
11,1.4800889492034912,1031.9342,329.1028,434.6179,193.5874,543.5988,129.9759,89.3897,130.7119
12,1.6118578910827637,1029.8309,331.1766,434.4606,193.0357,544.4456,132.2856,89.4001,133.005
13,1.7478039264678955,1025.8416,332.9217,434.3212,192.4483,545.3346,134.6142,89.4085,135.3526
14,1.879770040512085,1022.6169,335.2842,434.2104,191.8853,546.2422,136.8171,89.4142,137.5127
15,2.0156970024108887,1019.549,337.3971,434.1182,191.3389,547.1253,138.8183,89.4177,139.666
16,2.1477909088134766,1016.4099,338.7562,434.0329,190.7424,548.099,140.8048,89.4193,141.6222
17,2.2837629318237305,1013.9852,340.1003,433.9653,190.1481,549.0882,142.6991,89.4192,143.4621
18,2.4197418689727783,1011.126,342.4749,433.9095,189.5371,550.1527,144.4188,89.4174,145.2732
19,2.5518300533294678,1008.4172,344.7698,433.8703,188.9523,551.1817,145.9465,89.4144,146.7706
20,2.687666893005371,1005.1712,347.416,433.8409,188.3338,552.2954,147.3744,89.41,148.2024
21,2.8199329376220703,1002.1232,349.7724,433.824,187.7221,553.3848,148.5941,89.4051,149.3928
22,2.955821990966797,999.5518,352.082,433.8167,187.1211,554.5152,149.7177,89.3991,150.5203
23,3.0881400108337402,997.1407,354.2288,433.8189,186.5094,555.6856,150.645,89.3928,151.4463
24,3.2235279083251953,994.2842,356.5869,433.8294,185.8826,556.8895,151.472,89.3855,152.2816
25,3.359692096710205,991.6688,358.8684,433.8486,185.2235,558.1244,152.1916,89.3781,152.9941
26,3.491715908050537,988.7642,361.6996,433.8725,184.6166,559.3446,152.7354,89.371,153.5536
27,3.627739906311035,985.7968,364.5488,433.9028,183.9641,560.6297,153.2226,89.3631,154.0254
28,3.7595369815826416,983.2217,367.0192,433.9389,183.2941,561.9244,153.5776,89.3557,154.3833
29,3.8956730365753174,981.399,369.3398,433.9775,182.6359,563.2454,153.8611,89.348,154.6701
30,4.027749061584473,978.7328,371.8057,434.017,181.9985,564.5757,154.0629,89.341,154.8666
31,4.163697004318237,975.9362,374.3824,434.0625,181.2779,566.0038,154.203,89.3337,155.0041
32,4.299652099609375,972.9336,377.5078,434.1062,180.5933,567.4297,154.2782,89.3269,155.0782
33,4.432123899459839,970.3817,380.6318,434.1473,179.9266,568.784,154.3008,89.3208,155.1011
34,4.567655086517334,967.7786,383.6589,434.189,179.2116,570.2659,154.2829,89.315,155.0814
35,4.699980020523071,965.4937,385.9974,434.2251,178.5318,571.6806,154.2324,89.31,155.0307
36,4.835568904876709,962.8684,389.1388,434.259,177.8077,573.2238,154.1567,89.3055,154.9539
37,4.967647075653076,960.7391,392.2641,434.287,177.0888,574.7072,154.0671,89.3018,154.8609
38,5.103796005249023,957.6859,395.5991,434.3079,176.3598,576.268,153.9666,89.2988,154.7615
39,5.240869045257568,955.5943,398.5905,434.3198,175.6492,577.7108,153.8759,89.2969,154.6666
40,5.371591091156006,953.1828,402.1829,434.3235,174.8884,579.3215,153.7798,89.2957,154.57
41,5.5075929164886475,950.1927,405.9234,434.3173,174.1071,580.9849,153.6875,89.2955,154.4771
42,5.639615058898926,947.6168,409.1768,434.3015,173.3535,582.5083,153.6072,89.2964,154.3908
43,5.776036024093628,945.0848,412.6688,434.2754,172.5653,584.1529,153.5284,89.2985,154.3066
44,5.90749192237854,942.5466,415.8614,434.2405,171.7958,585.7509,153.4584,89.3019,154.2301
45,6.043628931045532,940.7563,419.4491,434.1955,171.004,587.3489,153.3952,89.3064,154.1577
46,6.179558992385864,938.0275,423.375,434.139,170.1588,589.0581,153.3369,89.3128,154.0964
