frame_id,time,u,v,X,Y,Z,A,B,C
0,0.0,796.1785,305.4363,443.2819,204.277,533.6566,99.1616,88.47,98.962
1,0.1362619400024414,789.4121,310.2632,442.0403,203.431,533.9297,100.3522,88.6185,100.3169
2,0.26783204078674316,783.4019,313.4581,439.8941,201.7682,534.7472,103.0046,88.8389,103.174
3,0.40419602394104004,776.8768,318.791,438.248,200.1172,535.9656,106.6765,89.0249,107.2038
4,0.5359468460083008,771.3286,322.1749,436.9103,198.4273,537.538,111.2835,89.1695,112.1718
5,0.6718640327453613,766.0814,325.743,435.9397,196.8385,539.4037,117.4076,89.2781,118.3898
6,0.8035788536071777,760.6078,329.6673,435.1743,195.1082,541.5362,124.0942,89.3519,125.2529
7,0.9391489028930664,756.5166,333.8173,434.5763,193.4437,543.9411,131.3114,89.3967,132.5628
8,1.073253870010376,751.9742,339.655,434.1954,191.7167,546.6904,138.0561,89.4166,139.3088
9,1.2040178775787354,747.5718,344.8723,433.9608,190.0036,549.4712,143.5222,89.4179,144.8594
10,1.3389968872070312,743.6666,349.6346,433.8385,188.1385,552.7957,148.0754,89.4066,149.2542
11,1.4700579643249512,738.9415,357.7416,433.8221,186.337,556.2045,151.0885,89.388,152.1081
12,1.6041028499603271,735.2998,364.1791,433.8752,184.5256,559.6409,152.9476,89.3662,153.9002
13,1.735365867614746,731.416,372.6199,433.9795,182.4856,563.726,153.9558,89.3439,154.8054
14,1.870013952255249,728.4393,380.051,434.1123,180.4172,568.0155,154.2851,89.3226,155.0899
15,2.004770040512085,724.5224,389.2231,434.2368,178.2187,572.511,154.1838,89.3065,154.9614
16,2.135769844055176,721.3083,398.0951,434.306,176.2639,576.6066,153.9184,89.2976,154.6858
17,2.2704389095306396,717.5693,408.1349,434.3151,173.9386,581.3682,153.6575,89.2959,154.4154
18,2.4012749195098877,714.0931,418.9062,434.231,171.535,586.4984,153.4256,89.3051,154.1724
19,2.5360889434814453,711.0723,429.6626,434.0644,169.1559,591.2788,153.2764,89.3259,154.0135
20,2.667120933532715,708.2647,439.5651,433.8324,166.8654,595.6757,153.2513,89.3571,153.9783
21,2.8030200004577637,704.3999,450.6126,433.533,164.4214,600.1603,153.4148,89.4013,154.1358
22,2.9369559288024902,700.7537,459.5061,433.2028,162.17,604.1327,153.8558,89.4548,154.5891
23,3.067548990249634,698.242,469.5596,432.8437,159.8225,607.8061,154.7993,89.5189,155.527
24,3.202549934387207,695.0469,478.052,432.4626,157.519,611.1537,156.5376,89.5937,157.4467
25,3.333566904067993,691.9517,486.4673,432.1173,155.2486,613.9616,159.7145,89.6713,161.0034
26,3.4684879779815674,688.6448,493.7644,431.7456,152.8096,616.6691,166.6211,89.7601,168.7931
27,3.5995090007781982,684.138,501.4877,431.4289,150.5023,618.7985,22.5516,89.8437,-171.9108
28,3.7343218326568604,679.9354,508.0961,431.1278,147.9711,620.6651,-133.3134,89.8849,-124.0986
29,3.869086980819702,675.2801,512.6469,430.8817,145.3571,622.0274,-86.6324,89.8215,-82.4424
