frame_id,time,u,v,X,Y,Z,A,B,C
0,0.0,928.1621,444.7213,456.3186,209.9318,536.5685,95.8394,87.0291,94.3729
1,0.13162803649902344,921.3651,446.2795,455.0948,209.582,536.0452,95.9301,87.1519,94.5425
2,0.26748108863830566,915.041,447.9022,453.7626,209.1688,535.5273,96.046,87.2846,94.7466
3,0.399522066116333,908.5135,449.7065,452.4952,208.7313,535.076,96.1777,87.4127,94.9666
4,0.5355470180511475,902.0245,451.7156,451.2908,208.2937,534.6721,96.3377,87.5403,95.2119
5,0.667384147644043,895.131,452.4935,450.1687,207.8467,534.3392,96.5193,87.6601,95.4715
6,0.8034660816192627,888.6054,454.4368,449.0567,207.3984,534.073,96.7352,87.7804,95.7732
7,0.9400651454925537,883.1328,455.2248,447.9593,206.9101,533.8436,96.9906,87.8974,96.0999
8,1.0714640617370605,876.4277,457.114,446.9505,206.4254,533.6936,97.2749,88.0055,96.4646
9,1.2073919773101807,869.7479,458.4978,445.9385,205.9244,533.5907,97.6209,88.1138,96.8889
10,1.3394811153411865,863.4041,460.2678,445.0186,205.427,533.5487,98.0041,88.2181,97.3506
11,1.475356101989746,857.162,462.1727,444.1493,204.902,533.5623,98.4535,88.3195,97.8899
12,1.6074919700622559,850.5408,463.5886,443.2917,204.3811,533.63,98.9681,88.4118,98.465
13,1.7524771690368652,844.2981,464.9879,442.4218,203.8142,533.766,99.616,88.5096,99.1886
14,1.879296064376831,841.1724,466.0583,441.7227,203.3063,533.9292,100.2634,88.5924,99.9125
15,2.0112061500549316,831.6439,467.8908,441.0367,202.7984,534.144,100.9712,88.669,100.7272
16,2.147672176361084,825.5699,469.5344,440.3545,202.2411,534.4257,101.8609,88.7479,101.6526
17,2.279203176498413,819.9437,471.3154,439.7734,201.7309,534.7199,102.7869,88.8175,102.6484
18,2.415356159210205,813.41,473.0338,439.1616,201.1537,535.0926,103.8662,88.8858,103.7989
19,2.547420024871826,807.1722,474.856,438.6346,200.6168,535.4925,105.0368,88.948,105.0381
20,2.683238983154297,801.8863,475.2197,438.1344,200.0661,535.928,106.3495,89.0066,106.4192
21,2.8193631172180176,795.6707,475.8354,437.6648,199.4925,536.4306,107.7894,89.061,107.9299
22,2.9517581462860107,790.2183,476.8127,437.2595,198.9683,536.9238,109.327,89.1097,109.5552
23,3.0873920917510986,784.3221,478.3117,436.8528,198.4163,537.4766,111.0273,89.1568,111.3474
24,3.219109058380127,778.0536,479.4643,436.5084,197.8806,538.0571,112.8383,89.1973,113.2053
25,3.3553380966186523,772.4724,480.7753,436.1682,197.3162,538.6979,114.8819,89.2355,115.2701
26,3.4986391067504883,766.6917,481.7397,435.8224,196.6936,539.4106,117.1248,89.2709,117.5754
27,3.623378038406372,764.6222,483.0116,435.5802,196.205,540.0129,119.0847,89.298,119.6693
28,3.7594239711761475,755.0555,483.4285,435.3095,195.6042,540.7888,121.4968,89.3258,122.0397
29,3.8914201259613037,750.6721,484.2982,435.0955,195.0754,541.4885,123.683,89.3463,124.3371
30,4.027791976928711,745.2043,484.9241,434.8939,194.522,542.2803,126.1049,89.3657,126.7568
31,4.16028904914856,739.7975,486.5062,434.7187,193.9722,543.0196,128.3658,89.3807,129.1416
