frame_id,time,u,v,X,Y,Z,A,B,C
0,0.0,651.9102,322.9822,438.1917,200.008,536.0199,106.7574,89.0378,107.6269
1,0.13708019256591797,647.7667,325.285,436.7134,198.137,537.897,112.5478,89.1947,113.3315
2,0.4080691337585449,637.4881,332.8561,435.0153,194.7955,542.0248,125.6276,89.3636,126.9891
3,0.541391134262085,632.1431,337.1873,434.5082,193.1173,544.4076,132.4465,89.4023,133.9112
4,0.67848801612854,628.4691,343.291,434.1473,191.431,547.1009,138.9523,89.4179,140.3782
5,0.8157610893249512,623.9937,347.107,433.9176,189.5448,550.2655,144.7649,89.4166,145.8374
6,0.9490780830383301,620.2664,353.2004,433.8314,187.8898,553.2537,148.6501,89.4039,149.8398
7,1.086393117904663,616.238,360.971,433.8287,185.9486,556.9413,151.5893,89.3834,152.5627
8,1.2197191715240479,612.5014,367.6478,433.8986,183.9868,560.7017,153.272,89.361,154.1677
9,1.3570270538330078,608.4214,375.9488,434.0024,182.1069,564.5526,154.072,89.3386,154.9171
10,1.4905281066894531,605.0351,383.6631,434.136,180.0269,568.8377,154.2934,89.3193,155.0921
11,1.6275291442871094,601.2341,392.6637,434.2502,177.8732,573.2341,154.1352,89.3043,154.9161
12,1.7646770477294922,597.9932,402.0969,434.3157,175.7164,577.755,153.8565,89.2965,154.6215
13,1.8978521823883057,594.5674,412.3253,434.3059,173.4966,582.4,153.5979,89.2971,154.3577
14,2.0349221229553223,591.2507,422.8264,434.1992,170.9861,587.5758,153.3813,89.3089,154.1288
15,2.1681041717529297,587.4631,434.107,434.0219,168.6233,592.1688,153.2608,89.3313,153.9941
16,2.3053410053253174,584.3444,444.2323,433.771,166.3398,596.6624,153.268,89.3658,153.9941
17,2.4387052059173584,581.1895,454.4704,433.4725,164.0271,600.8606,153.4626,89.4108,154.1926
18,2.575705051422119,577.8513,463.7789,433.1265,161.6673,604.807,153.9835,89.4673,154.7423
19,2.7123701572418213,575.259,473.2541,432.7697,159.3699,608.4032,155.0074,89.5333,155.8489
20,2.84511399269104,571.8073,481.9857,432.408,157.061,611.677,156.9347,89.606,157.9365
21,2.982340097427368,568.5256,489.8951,432.0272,154.6991,614.6766,160.793,89.6906,162.1751
22,3.115382194519043,565.3539,497.1074,431.6762,152.3284,617.1675,169.073,89.7784,171.1954
23,3.2523820400238037,561.1533,504.3902,431.3575,149.9448,619.2595,-140.0406,89.8591,-165.0118
24,3.38542103767395,556.8909,510.6614,431.0777,147.4853,620.9541,-120.8931,89.8789,-113.2946
25,3.5227861404418945,552.001,515.1478,430.8413,144.8449,622.2491,-81.3744,89.8009,-78.118
26,3.6591570377349854,546.0323,519.0165,430.6821,142.2372,622.928,-67.4398,89.6872,-65.5888
27,3.7920989990234375,540.8698,521.4569,430.6014,139.7791,623.0771,-61.6707,89.5665,-60.4043
28,3.9288170337677,535.3878,522.6884,430.5961,137.0017,622.6553,-58.7822,89.4378,-57.765
29,4.06174111366272,529.5535,522.4494,430.6598,134.5414,621.7751,-57.4235,89.3175,-56.4245
30,4.19882607460022,524.4113,519.5568,430.7954,131.8853,620.3085,-56.6466,89.1905,-55.6371
31,4.331431150436401,517.4448,518.4968,430.9741,129.4492,618.4716,-56.289,89.076,-55.2365
32,4.468371152877808,510.9314,515.5844,431.2152,126.7591,616.047,-56.1106,88.962,-54.9934
33,4.605098009109497,504.0032,511.7071,431.485,124.0561,613.1147,-56.051,88.8585,-54.8642
34,4.737908124923706,497.6809,506.096,431.7608,121.3101,609.7866,-56.043,88.7622,-54.7849
35,4.874817132949829,492.0037,498.1438,432.0315,118.4628,605.7866,-56.0462,88.6784,-54.7246
36,5.007508039474487,485.9092,489.729,432.2692,115.5917,601.4984,-56.0353,88.6098,-54.665
37,5.144110202789307,479.3558,481.3813,432.4544,112.4519,596.6584,-55.9996,88.5585,-54.6022
38,5.276835203170776,473.2486,470.72,432.5245,109.2722,591.5391,-55.9488,88.5317,-54.5524
39,5.413699150085449,467.5945,459.0681,432.4635,105.7108,585.7263,-55.8766,88.5326,-54.5166
40,5.550493001937866,462.7349,447.0037,432.2476,102.2716,580.2453,-55.7973,88.5659,-54.5032
41,5.683073043823242,459.1273,435.831,431.9562,99.3992,575.3695,-55.6933,88.6238,-54.4709
42,5.819643020629883,456.5227,425.4804,431.5417,96.4957,570.8226,-55.4556,88.7036,-54.3047
43,5.952752113342285,454.4446,416.4947,431.1509,94.0026,567.0991,-54.9549,88.805,-53.8966
44,6.08934211730957,452.9373,408.0047,430.7346,91.6061,563.6999,-54.1363,88.9239,-53.1119
45,6.222018003463745,451.7182,401.1277,430.3803,89.4345,561.0527,-52.8108,89.0519,-51.8459
46,6.358777046203613,451.0911,395.0999,430.0714,87.3244,558.9378,-50.7643,89.1865,-49.8158
47,6.495373010635376,450.3134,390.7499,429.822,85.1926,557.2767,-47.545,89.3287,-46.6732
48,6.627857208251953,449.3571,387.4826,429.6692,83.4592,556.3338,-42.9859,89.4541,-41.7367
49,6.764871120452881,448.2487,386.6597,429.5756,81.568,555.7682,-35.153,89.5798,-33.2947
50,6.896991014480591,447.6784,383.5788,429.5607,79.8145,555.6864,-21.7271,89.6867,-18.8265
51,7.033703088760376,447.0386,382.3351,429.6181,77.9838,556.0684,2.7377,89.7548,7.0711
52,7.166517019271851,445.8773,383.4444,429.7409,76.201,556.8822,33.0398,89.7548,37.1993
53,7.302926063537598,444.3475,384.0986,429.932,74.3145,558.2233,57.8539,89.6934,60.1462
54,7.439585208892822,443.0493,386.4347,430.1754,72.5082,559.9347,71.1306,89.6123,72.1446
55,7.572272062301636,440.931,391.4334,430.4477,70.723,562.0127,78.107,89.5313,78.7105
56,7.708413124084473,439.3294,395.3569,430.7411,68.9065,564.4774,82.3749,89.4531,82.6047
57,7.840961217880249,437.4255,401.4382,431.0483,67.0215,567.3744,84.9737,89.3815,84.8587
58,7.9786272048950195,435.1323,407.3986,431.3314,65.1419,570.542,86.3738,89.3265,86.2147
59,8.110838174819946,432.5498,414.5488,431.5802,63.2868,573.8908,87.1129,89.284,86.8538
60,8.247019052505493,430.159,422.5569,431.8097,61.3115,577.6405,87.4064,89.2532,87.0691
61,8.383406162261963,426.9586,430.3828,431.9655,59.3637,581.5545,87.3657,89.2364,86.9711
62,8.515929222106934,424.2496,439.0266,432.0467,57.3879,585.4219,87.122,89.2331,86.6756
63,8.652316093444824,421.2584,448.955,432.0422,54.95,590.0917,86.6613,89.2446,86.2221
64,8.785426139831543,417.7346,458.7006,431.9328,52.6619,594.6115,85.978,89.2727,85.5066
65,8.921416997909546,413.4024,468.4316,431.7413,50.3295,598.9301,84.9302,89.3158,84.4188
66,9.053885221481323,409.355,476.908,431.4943,48.0679,602.7763,83.3678,89.3733,82.7869
67,9.190224170684814,404.6566,484.892,431.1921,45.6539,606.4272,80.8618,89.4455,80.1948
