frame_id,time,u,v,X,Y,Z,A,B,C
0,0.0,446.6184,323.2313,443.489,204.5204,533.607,98.8347,88.392,98.3416
1,0.13614988327026367,446.032,323.7007,442.6264,203.9531,533.7219,99.426,88.4859,99.0015
2,0.2679328918457031,445.385,324.0788,441.886,203.4401,533.8811,100.0691,88.5695,99.7205
3,0.40398097038269043,445.2637,324.2905,441.1584,202.8938,534.0973,100.818,88.6533,100.5291
4,0.5360128879547119,444.1397,325.3054,440.503,202.3663,534.3522,101.6332,88.7289,101.4075
5,0.6718909740447998,443.324,326.1219,439.8807,201.8212,534.6545,102.5723,88.8032,102.4313
6,0.8079319000244141,442.7713,327.2676,439.2887,201.2763,535.008,103.6365,88.8723,103.5581
7,0.9410750865936279,442.3347,328.0402,438.7458,200.7233,535.4056,104.7802,88.9362,104.782
8,1.0761120319366455,441.4055,327.9326,438.2487,200.1819,535.8326,106.0432,88.9956,106.1397
9,1.207792043685913,441.5786,328.1339,437.7732,199.6401,536.3036,107.4365,89.0484,107.5576
10,1.343991994857788,442.1511,329.2013,437.3337,199.0698,536.8278,109.0337,89.1011,109.2304
11,1.4758830070495605,441.0464,330.2053,436.9426,198.5546,537.3427,110.6134,89.1457,110.8929
12,1.6119968891143799,440.3985,331.427,436.5625,197.9778,537.9404,112.4725,89.1888,112.7912
13,1.7478539943695068,440.541,332.6109,436.2286,197.4311,538.5456,114.4377,89.2276,114.8747
14,1.8801469802856445,440.0168,333.667,435.9318,196.9016,539.1705,116.4089,89.2606,116.8386
15,2.0162549018859863,440.1238,334.2543,435.6343,196.3051,539.8914,118.6674,89.2932,119.2052
16,2.1478519439697266,439.4431,336.1839,435.3782,195.7632,540.5805,120.8399,89.3185,121.4389
17,2.283864974975586,439.712,336.7216,435.1498,195.2002,541.3222,123.1894,89.3418,123.764
18,2.4159109592437744,439.0565,338.1776,434.9402,194.6381,542.0899,125.5284,89.3616,126.1646
19,2.551841974258423,438.7335,339.5339,434.7474,194.0784,542.8825,127.8988,89.3775,128.5546
20,2.688304901123047,438.9893,340.8219,434.5802,193.5082,543.7286,130.3654,89.3915,131.0462
21,2.819972038269043,439.1092,342.878,434.4409,192.9713,544.5491,132.5785,89.4013,133.2858
22,2.9558839797973633,438.9915,344.3825,434.3111,192.3997,545.4067,134.7935,89.4092,135.59
23,3.0880110263824463,438.6547,346.0578,434.2015,191.8384,546.3241,137.0069,89.4148,137.8191
24,3.2239198684692383,438.7767,347.9418,434.1006,191.2412,547.2747,139.1612,89.4181,139.9241
25,3.3562119007110596,438.759,349.1237,434.0227,190.661,548.2286,141.0581,89.4194,141.8997
26,3.4922778606414795,438.7244,350.4041,433.9566,190.0559,549.2555,142.9571,89.419,143.7573
27,3.627856969833374,439.2171,352.2305,433.9045,189.4542,550.2974,144.6429,89.4171,145.4421
28,3.759852886199951,439.2739,354.3339,433.8659,188.8801,551.3181,146.1212,89.414,146.9581
29,3.895845890045166,438.9907,356.6827,433.8387,188.277,552.3922,147.4887,89.4096,148.3499
30,4.027827978134155,438.6129,359.2241,433.8226,187.6586,553.5194,148.736,89.4044,149.5692
31,4.1638078689575195,439.0348,361.4282,433.8166,187.0379,554.6707,149.838,89.3983,150.652
32,4.295686960220337,439.1863,363.5882,433.8197,186.451,555.8267,150.7573,89.3919,151.5778
33,4.4320549964904785,439.2667,365.5128,433.8317,185.7959,557.0209,151.5691,89.3847,152.3778
34,4.567885875701904,439.6091,368.0219,433.8514,185.1436,558.2792,152.254,89.3773,153.0707
35,4.699671983718872,439.6017,370.4222,433.8761,184.5257,559.4851,152.8025,89.3699,153.6161
36,4.8358330726623535,440.2699,373.4073,433.9075,183.8786,560.7938,153.273,89.3621,154.0758
37,4.967854976654053,439.9598,375.7927,433.9435,183.2116,562.0895,153.6199,89.3547,154.4243
38,5.1038360595703125,440.6642,377.9119,433.9831,182.5431,563.4623,153.8996,89.347,154.7021
39,5.235918998718262,440.8757,380.5594,434.0224,181.8958,564.7843,154.0871,89.34,154.8892
40,5.371766090393066,441.6301,382.9391,434.0676,181.201,566.1456,154.2124,89.3328,155.0168
41,5.507560968399048,441.4719,386.2744,434.1117,180.4902,567.6207,154.2825,89.326,155.0836
42,5.640727996826172,441.6006,389.5443,434.1529,179.8339,568.9758,154.3003,89.32,155.1005
43,5.7760820388793945,442.8879,392.1672,434.193,179.1412,570.4321,154.2774,89.3144,155.0767
44,5.907799959182739,442.8452,394.7982,434.2293,178.4539,571.843,154.2266,89.3094,155.022
45,6.04369592666626,442.7552,397.8879,434.2632,177.7127,573.4196,154.1452,89.3049,154.9421
46,6.175790071487427,443.4718,401.1972,434.2891,177.0057,574.8949,154.0556,89.3014,154.8498
47,6.31182599067688,444.2423,404.4095,434.3104,176.2478,576.4613,153.9569,89.2985,154.7484
48,6.447768926620483,444.3348,407.7557,434.3213,175.5005,577.9968,153.8556,89.2966,154.6485
49,6.579701900482178,445.163,411.194,434.3235,174.8101,579.5032,153.7691,89.2956,154.5579
50,6.715734958648682,445.6072,414.908,434.3159,174.0036,581.1639,153.6779,89.2956,154.4654
51,6.847919940948486,445.5668,418.3524,434.299,173.2761,582.6853,153.5978,89.2966,154.3802
