frame_id,time,u,v,X,Y,Z,A,B,C
0,0.0,628.4464,318.2034,440.7503,202.5542,534.2631,101.507,88.718,101.2988
1,0.1359548568725586,627.4587,319.1514,440.5016,202.3568,534.3661,101.7383,88.7375,101.5325
2,0.279249906539917,626.268,320.3264,439.7751,201.7292,534.7204,102.7525,88.8155,102.6298
3,0.4149940013885498,625.257,321.9018,439.2305,201.2216,535.0781,103.7818,88.8829,103.7813
4,0.636652946472168,622.3052,322.9015,438.3114,200.266,535.7641,105.8467,88.9854,105.8983
5,0.7764589786529541,622.3228,323.2909,437.8315,199.6945,536.2429,107.2669,89.043,107.4024
6,0.9409449100494385,621.3701,325.0659,437.2992,199.0376,536.8641,109.1446,89.1044,109.3888
7,1.0911238193511963,620.1643,326.302,436.855,198.4194,537.4862,111.0572,89.1562,111.3645
8,1.240907907485962,618.332,327.829,436.4526,197.7989,538.1385,113.1512,89.2029,113.4875
9,1.3691859245300293,617.9512,329.1089,436.1354,197.2705,538.729,115.0258,89.2382,115.4808
10,1.5135338306427002,616.3772,330.1497,435.8146,196.6695,539.4399,117.2821,89.2736,117.7334
11,1.6773648262023926,615.3973,332.3848,435.4865,196.0041,540.3,119.92,89.3083,120.4638
12,1.8107500076293945,615.4254,333.1741,435.2553,195.4628,541.0021,122.2861,89.3327,122.7923
13,1.9484279155731201,614.0596,334.9474,435.0091,194.846,541.8218,124.711,89.3548,125.2573
14,2.0943658351898193,613.6022,336.2204,434.8123,194.2677,542.6121,127.0975,89.3725,127.7353
15,2.2529709339141846,612.6094,337.8351,434.6062,193.5933,543.6034,129.9766,89.3896,130.6872
16,2.3882579803466797,611.722,340.1627,434.4628,193.0437,544.4392,132.3509,89.4003,133.0749
17,2.5212340354919434,611.0243,341.9293,434.3243,192.4628,545.3079,134.6036,89.4085,135.3512
18,2.6546528339385986,610.2009,343.394,434.2134,191.877,546.2343,136.7972,89.4142,137.5435
19,2.7951529026031494,609.1475,345.2793,434.1074,191.275,547.2096,138.9893,89.418,139.8065
20,2.9495439529418945,608.2175,346.8342,434.0254,190.655,548.2688,141.1599,89.4194,141.9923
21,3.0897068977355957,607.817,348.8714,433.9516,190.0017,549.3786,143.154,89.4189,143.9381
22,3.2227180004119873,607.6399,350.7521,433.9023,189.4288,550.3497,144.7223,89.4168,145.5951
23,3.3625128269195557,606.4986,352.798,433.8632,188.8194,551.4529,146.2995,89.4134,147.1768
24,3.564206838607788,605.0426,356.6403,433.827,187.8768,553.1469,148.3434,89.4062,149.1484
25,3.721421957015991,604.8262,359.3099,433.8172,187.1821,554.4361,149.6354,89.3994,150.4756
26,3.861311912536621,604.32,361.4386,433.8184,186.5066,555.6681,150.6335,89.3927,151.4592
27,4.0046539306640625,603.8851,363.3433,433.8309,185.8233,556.998,151.5402,89.385,152.3464
28,4.138324975967407,603.0107,366.1307,433.8477,185.2474,558.1874,152.2067,89.378,153.0281
29,4.298633813858032,602.0764,369.1071,433.8786,184.4536,559.6076,152.8476,89.369,153.6806
30,4.434759855270386,601.5674,371.9455,433.9111,183.8033,560.9489,153.3212,89.3612,154.1246
31,4.564839839935303,601.2896,374.2407,433.9477,183.1394,562.234,153.6607,89.3539,154.4571
32,4.716387033462524,601.2595,376.5746,433.9918,182.3998,563.7221,153.9468,89.3454,154.7499
33,4.831295013427734,600.8075,379.2787,434.0268,181.8225,564.893,154.1036,89.3392,154.9057
34,5.005359888076782,599.5038,382.7716,434.0831,180.958,566.7009,154.2457,89.3304,155.0493
35,5.140156030654907,599.1153,385.8188,434.1262,180.2508,568.1142,154.2942,89.3238,155.0952
36,5.28618597984314,598.6942,388.9566,434.172,179.4965,569.7359,154.2941,89.3173,155.0937
37,5.438949823379517,598.4207,392.0374,434.2152,178.7107,571.3078,154.2499,89.3112,155.0468
38,5.586062908172607,597.7424,395.1187,434.2525,177.949,572.9165,154.1712,89.3063,154.9671
39,5.73795485496521,597.2618,399.2307,434.286,177.1189,574.658,154.0696,89.3019,154.8634
40,5.8778369426727295,596.6537,402.136,434.3078,176.3501,576.27,153.9645,89.2988,154.7604
41,6.009488821029663,596.2456,405.8638,434.3197,175.6748,577.711,153.8758,89.2968,154.6631
42,6.148864984512329,596.2986,409.0715,434.3235,174.8434,579.4112,153.7731,89.2956,154.5621
43,6.287077903747559,595.926,412.8324,434.3169,174.0862,580.981,153.686,89.2955,154.4703
44,6.42848801612854,595.2299,416.2863,434.2998,173.2663,582.6897,153.5991,89.2966,154.38
