frame_id,time,u,v,X,Y,Z,A,B,C
0,0.0,534.012,325.3646,438.0663,199.9884,535.9982,106.5768,89.0159,106.6523
1,0.134368896484375,533.5522,325.8804,437.62,199.4419,536.4774,107.9717,89.0677,108.1638
2,0.2664918899536133,532.8475,326.8533,437.1944,198.8961,537.007,109.5809,89.1172,109.7969
3,0.40248703956604004,531.1124,328.1664,436.7959,198.3323,537.5638,111.3347,89.1629,111.6084
4,0.5346770286560059,530.049,329.4336,436.4414,197.7851,538.1516,113.1785,89.2036,113.4708
5,0.6706099510192871,529.399,330.7252,436.1245,197.2342,538.7811,115.1533,89.2407,115.5794
6,0.803170919418335,528.5919,331.8528,435.8097,196.67,539.4388,117.2164,89.2727,117.6682
7,0.9387660026550293,527.9106,333.0612,435.5445,196.1137,540.1276,119.4621,89.3026,119.9633
8,1.0746278762817383,526.7755,334.1808,435.2931,195.5549,540.8484,121.7096,89.3274,122.3003
9,1.2068159580230713,525.9976,335.3575,435.0656,194.9974,541.5943,124.0107,89.349,124.6629
10,1.3426449298858643,525.3893,336.5594,434.8583,194.4174,542.3993,126.4632,89.3678,127.0346
11,1.474863052368164,524.3985,338.4489,434.6922,193.8847,543.1698,128.736,89.3826,129.4169
12,1.6106500625610352,523.9748,339.5627,434.5335,193.3304,543.9811,131.0339,89.3951,131.8165
13,1.7429349422454834,523.1776,341.6337,434.3933,192.7577,544.8506,133.3736,89.4044,134.1578
14,1.8790929317474365,522.1954,343.6505,434.2698,192.1989,545.7398,135.6164,89.4114,136.4192
15,2.015195846557617,521.5212,345.0638,434.1613,191.596,546.6865,137.8226,89.4161,138.5766
16,2.1469109058380127,520.597,346.6275,434.0722,191.0215,547.6276,139.8722,89.4187,140.6395
17,2.2834179401397705,520.0865,348.045,433.9953,190.4318,548.6153,141.8299,89.4195,142.5677
18,2.4151129722595215,519.6573,349.7709,433.9388,189.8642,549.5853,143.5008,89.4185,144.2857
19,2.5512149333953857,518.9077,351.654,433.8899,189.2641,550.6536,145.1795,89.4161,145.9823
20,2.683480978012085,518.0541,353.8193,433.8553,188.664,551.708,146.6384,89.4125,147.4495
21,2.8194680213928223,517.2762,356.0042,433.8316,188.0567,552.8201,147.9848,89.4078,148.7824
22,2.9553420543670654,516.7903,358.3314,433.8195,187.4347,553.9334,149.1448,89.4023,149.9771
23,3.087480068206787,516.3685,360.4741,433.8167,186.8167,555.0842,150.1756,89.396,151.004
24,3.223336935043335,515.9116,362.6779,433.823,186.2054,556.2804,151.0726,89.3893,151.8743
25,3.35650897026062,515.1085,364.7523,433.8376,185.5714,557.4573,151.8127,89.3823,152.6358
26,3.4916059970855713,514.1553,367.3839,433.8597,184.9342,558.7087,152.4634,89.3747,153.2661
